name,concept_id
amisulpride,21163292
amisulpride,21163293
amisulpride,21163294
amisulpride,21163295
amisulpride,21163296
amisulpride,21163297
amisulpride,21165970
amisulpride,21167107
amisulpride,21173038
amisulpride,21173039
amisulpride,21173040
amisulpride,21173041
amisulpride,21173042
amisulpride,21173043
amisulpride,21173044
amisulpride,21173045
amisulpride,21173046
amisulpride,21173047
amisulpride,21173048
amisulpride,21173049
amisulpride,21173050
amisulpride,21173051
amisulpride,21173052
amisulpride,21176896
amisulpride,35742878
amisulpride,35742879
amisulpride,35742880
amisulpride,35742881
amisulpride,35742882
amisulpride,35742883
amisulpride,35742884
amisulpride,35747080
amisulpride,35747081
amisulpride,35747082
amisulpride,35747083
amisulpride,35747084
amisulpride,35747085
amisulpride,35751185
amisulpride,35751186
amisulpride,35751188
amisulpride,35751189
amisulpride,35751190
amisulpride,35751191
amisulpride,35751192
amisulpride,35751193
amisulpride,35755447
amisulpride,35755448
amisulpride,35755449
amisulpride,35755450
amisulpride,35755451
amisulpride,35755452
amisulpride,35758507
amisulpride,35759551
amisulpride,35759552
amisulpride,35759553
amisulpride,35759554
amisulpride,35759555
amisulpride,35759556
amisulpride,35759557
amisulpride,35759558
amisulpride,35759559
amisulpride,35759560
amisulpride,35763767
amisulpride,35763768
amisulpride,35763769
amisulpride,35763770
amisulpride,35763771
amisulpride,35767904
amisulpride,35767905
amisulpride,35767907
amisulpride,35767908
amisulpride,35767909
amisulpride,35767910
amisulpride,35772260
amisulpride,35772261
amisulpride,35772262
amisulpride,35772263
amisulpride,35772264
amisulpride,35787980
amisulpride,35854745
amisulpride,35854746
amisulpride,35854747
amisulpride,35885536
amisulpride,35886014
amisulpride,35886015
amisulpride,35886016
amisulpride,35886017
amisulpride,35886018
amisulpride,35886019
amisulpride,35886020
amisulpride,35886021
amisulpride,35886022
amisulpride,35897230
amisulpride,35897276
amisulpride,35897277
amisulpride,35897278
amisulpride,35897279
amisulpride,35897280
amisulpride,35897281
amisulpride,35897282
amisulpride,36036559
amisulpride,36036560
amisulpride,36216958
amisulpride,36217697
amisulpride,36217695
amisulpride,36217696
amisulpride,36241014
amisulpride,36241015
amisulpride,36258237
amisulpride,36258238
amisulpride,36258239
amisulpride,36258306
amisulpride,36258664
amisulpride,36258789
amisulpride,36258929
amisulpride,36260787
amisulpride,36261102
amisulpride,36263357
amisulpride,36263358
amisulpride,36263498
amisulpride,36263761
amisulpride,36263880
amisulpride,36263934
amisulpride,36264952
amisulpride,36264953
amisulpride,36265901
amisulpride,36267529
amisulpride,36268506
amisulpride,36268507
amisulpride,36268508
amisulpride,36270995
amisulpride,36270996
amisulpride,36270997
amisulpride,36271990
amisulpride,36273553
amisulpride,36273892
amisulpride,36274007
amisulpride,36274030
amisulpride,36274080
amisulpride,36275166
amisulpride,36276151
amisulpride,36276605
amisulpride,36419753
amisulpride,36419754
amisulpride,36419755
amisulpride,36419756
amisulpride,36419757
amisulpride,36419758
amisulpride,36419759
amisulpride,36419760
amisulpride,36419761
amisulpride,36419762
amisulpride,36504078
amisulpride,36506571
amisulpride,36783360
amisulpride,36783361
amisulpride,36783362
amisulpride,36783363
amisulpride,36783364
amisulpride,36810204
amisulpride,36811656
amisulpride,36881793
amisulpride,36881991
amisulpride,36889745
amisulpride,36892952
amisulpride,36895147
amisulpride,36896468
amisulpride,36921466
amisulpride,36923686
amisulpride,36931277
amisulpride,36934487
amisulpride,36934856
amisulpride,36935110
amisulpride,36938489
amisulpride,36938641
amisulpride,36939218
amisulpride,36939447
amisulpride,36939923
amisulpride,36940586
amisulpride,36944887
amisulpride,36947932
amisulpride,36948952
amisulpride,36954257
amisulpride,36955053
amisulpride,36955367
amisulpride,36956442
amisulpride,36956701
amisulpride,36956918
amisulpride,36958984
amisulpride,36959282
amisulpride,36959669
amisulpride,36961938
amisulpride,36962818
amisulpride,36964623
amisulpride,37003644
amisulpride,37003645
amisulpride,37499211
amisulpride,37499212
amisulpride,37499214
amisulpride,37499215
amisulpride,37499216
amisulpride,37499217
amisulpride,37499218
amisulpride,37499820
amisulpride,37499821
amisulpride,37593327
amisulpride,37594015
amisulpride,40007722
amisulpride,40007723
amisulpride,40007724
amisulpride,40007725
amisulpride,40712834
amisulpride,40712835
amisulpride,40712836
amisulpride,40725168
amisulpride,40725169
amisulpride,40725170
amisulpride,40725171
